F2P	Version
?WG	BarterItemPreferenceFloor
duE	UseBarterForBuy
yV7	RendezvousParticipants
L3K	TaggedPlanetUA
Quh	OverrideFreighterFilename
3ks	ForceAllSentinelsAggressive
2c0	NumSlotsFromTech
9yG	OnlyCorvettesSpawnWhenPlayerTeleports
bVe	OnlyCorvetteLauncherCanBeRepaired
4qT	AllowOnlyCorvetteShipPurchases
cKn	AllowSaveContextMultitoolTransfer
eeZ	AllowSaveContextShipTransfer
5tH	AddedAutomatically
>lr	FreighterFleet
9T@	CargoLayout
>fW	LastSpawnTime
GuI	Dismissed
Ps4	MatrixAt
8nH	MatrixUp
FAc	MatrixPos
9i?	CorvetteStorageLayout
wem	CorvetteStorageInventory
4xJ	ShipTransformUp
lKr	ShipHovering
Air	LastBugAttackChangeTime
T=R	ProductionAccumulationCap
U2>	RequiredSettlementBuildingLevel
N6t	RequiredSettlementBuildingType
5a3	ProductionAmountMultiplier
:aM	ProductionTimeMultiplier
@rg	MiniMissionStartTime
Ak8	MiniMissionSeed
rr0	LastJudgementPerkID
x3<	Population
WGY	LastPopulationChangeTime
PZh	LastWeaponRefreshTime
Hdt	SettlementHistory
<:S	PlayerClaimedTime
WCt	InitialPopulation
;Ip	InitialHappiness
2H:	InitialProductivity
4X;	InitialUpkeepCost
NR7	InitialBuildingCount
qr=	SettlerDeathCount
A<w	SentinelAttackCount
oCR	BugAttackCount
sng	PlayerKillCount
uuW	GiftsRecieved
FfZ	LastWentIntoDebtTime
7Cg	LastWentIntoProfitTime
b5K	LongestDebtStretch
m<F	LongestProfitStretch
9=d	JudgementsSettled
NEK	SettlementLocalSaveData
rXy	CorvetteEditAssociatedShipIndex
tVi	CorvetteEditShipName
60t	CorvetteDraftShipSeed
Cyx	Buildings
Mp7	BuildingSeeds
leA	ByteBeatJukebox
:R0	Playing
9B5	RequiresStatConversion
sus	HasScannedToReveal
t<Q	TowerPowerTimeStamps
XQ1	ClusterIndex
h8@	TimeStamps
FrH	LastWeaponRefreshTimestamp
kKt	ForceReplaceStoryPortalSeed
:N6	SearchType
PBQ	SpecificBuildingClass
04i	UseBuildingFromRendezvousStage
l;o	NeedsDeepWaterPlanet
iIi	ExcludePlanetsWithEvents
Eaw	SystemNeedsGasGiant
o1O	NeverAllowGasGiantSystem
BFN	AltDescription
;lF	BuildableShipTechID
SuM	FossilCategory
96H	CorvettePartCategory
DTD	NeverPinnable
eSZ	FoodBonusStat
N=w	StatsType
<:g	FoodBonusStatAmount
@eC	ForceBlackHolesAtPartyUAs
0Is	AltBossRewards
UMx	NeedsSpecificCreature
j=K	SystemNeedsRelicPlanet
iG6	SystemNeedsNonGasGiant
FyV	OverrideStartingUAScreenFilter
8cR	StartingUAScreenFilter
G:p	ScreenFilter
